"key","severity","issue","english","translation"
"sub_30_days_validity","REVIEW-PRIORITY","money or safety wording","30 Days Plan Validity","30 రోజుల ప్లాన్ చెల్లుబాటు"
"sub_choose_plan_desc","REVIEW-PRIORITY","money or safety wording","Choose a plan below to get credits and start posting jobs.","క్రెడిట్‌లను పొందడానికి మరియు ఉద్యోగాలను పోస్ట్ చేయడానికి దిగువ ప్లాన్‌ను ఎంచుకోండి."
"sub_current_plan_pill","REVIEW-PRIORITY","money or safety wording","✓ Current","✓ ప్రస్తుత ప్లాన్"
"sub_dynamic_instant_unlocks","REVIEW-PRIORITY","money or safety wording","%1$s Instant Contact Unlocks","%1$s తక్షణ కాంటాక్ట్ అన్‌లాక్‌లు"
"sub_dynamic_job_credits","REVIEW-PRIORITY","money or safety wording","%1$s Job Credits","%1$s జాబ్ క్రెడిట్‌లు"
"sub_get_plan","REVIEW-PRIORITY","money or safety wording","Get %1$s","%1$s పొందండి"
"sub_growth_bonus","REVIEW-PRIORITY","money or safety wording","Includes 5 + 1 Free Job Post","5 + 1 ఉచిత జాబ్ పోస్ట్ ఉచితంగా పొందండి"
"sub_growth_instant_unlocks","REVIEW-PRIORITY","money or safety wording","15 Instant Candidate Contact Unlocks","15 తక్షణ కాంటాక్ట్ అన్‌లాక్‌లు"
"sub_growth_job_credits","REVIEW-PRIORITY","money or safety wording","6 Job Credits (","6 జాబ్ క్రెడిట్‌లు ("
"sub_included_features","REVIEW-PRIORITY","money or safety wording","Included Features","చేర్చబడిన ఫీచర్లు"
"sub_no_active_plan","REVIEW-PRIORITY","money or safety wording","No Active Subscription","క్రియాశీల సభ్యత్వం లేదు"
"sub_per_month","REVIEW-PRIORITY","money or safety wording","/ month","/ నెల"
"sub_posts_left_expires","REVIEW-PRIORITY","money or safety wording","%1$d posts left • Expires %2$s","%1$d పోస్టులు మిగిలి ఉన్నాయి • గడువు %2$s"
"sub_premium_bonus","REVIEW-PRIORITY","money or safety wording","Includes 10 + 2 Free Job Posts","10 + 2 ఉచిత జాబ్ పోస్ట్‌లు ఉచితంగా పొందండి"
"sub_premium_ceo_support","REVIEW-PRIORITY","money or safety wording","Dedicated support & chat feature with CEO","ప్రత్యేక మద్దతు & CEOతో చాట్ చేసే సదుపాయం"
"sub_premium_instant_unlocks","REVIEW-PRIORITY","money or safety wording","40 Instant Candidate Contact Unlocks","40 తక్షణ కాంటాక్ట్ అన్‌లాక్‌లు"
"sub_premium_job_credits","REVIEW-PRIORITY","money or safety wording","12 Job Credits (","12 జాబ్ క్రెడిట్‌లు ("
"sub_renew_now","REVIEW-PRIORITY","money or safety wording","Renew Now","ఇప్పుడే పునరుద్ధరించండి"
"sub_renew_premium","REVIEW-PRIORITY","money or safety wording","Renew Premium","ప్రీమియం పునరుద్ధరించండి"
"sub_single_instant_unlocks","REVIEW-PRIORITY","money or safety wording","0 Instant Contact Unlocks (Must wait for candidates to apply)","0 తక్షణ కాంటాక్ట్ అన్‌లాక్‌లు (అభ్యర్థులు దరఖాస్తు చేసే వరకు వేచి ఉండాలి)"
"sub_single_job_credit","REVIEW-PRIORITY","money or safety wording","1 Job Post Credit","1 జాబ్ పోస్ట్ క్రెడిట్"
"sub_starter_instant_unlocks","REVIEW-PRIORITY","money or safety wording","5 Instant Candidate Contact Unlocks","5 తక్షణ కాంటాక్ట్ అన్‌లాక్‌లు"
"sub_starter_job_credits","REVIEW-PRIORITY","money or safety wording","3 Job Credits","3 జాబ్ క్రెడిట్‌లు"
"unlock_contact","REVIEW-PRIORITY","money or safety wording","Unlock Contact","సంప్రదింపు అన్‌లాక్ చేయండి"
"unlock_price","REVIEW-PRIORITY","money or safety wording","Unlock Price","అన్‌లాక్ ధర"
"unlock_worker_contact_desc","REVIEW-PRIORITY","money or safety wording","Unlock %1$s\'s contact details to reach out directly.","%1$s సంప్రదింపు వివరాలను నేరుగా సంప్రదించడానికి అన్‌లాక్ చేయండి."
"withdraw","REVIEW-PRIORITY","money or safety wording","Withdraw","ఉపసంహరించు"
"withdraw_application","REVIEW-PRIORITY","money or safety wording","Withdraw Application","దరఖాస్తు ఉపసంహరించుకోండి"
"withdraw_application_message","REVIEW-PRIORITY","money or safety wording","Are you sure you want to withdraw your application? This action cannot be undone.","మీరు మీ దరఖాస్తును ఉపసంహరించుకోవాలనుకుంటున్నారా? ఈ చర్యను రద్దు చేయలేరు."
"withdraw_application_title","REVIEW-PRIORITY","money or safety wording","Withdraw Application?","దరఖాస్తు ఉపసంహరించాలా?"
"withdraw_button","REVIEW-PRIORITY","money or safety wording","Withdraw","ఉపసంహరించు"
"withdraw_earnings","REVIEW-PRIORITY","money or safety wording","Withdraw Earnings","సంపాదన ఉపసంహరించు"
"withdrawal_history","REVIEW-PRIORITY","money or safety wording","Withdrawal History","విత్‌డ్రా చరిత్ర"
